transformed_feature,original_feature,transformer
categorical__TLD_fr:443,TLD,categorical
categorical__TLD_fun,TLD,categorical
categorical__TLD_fund,TLD,categorical
categorical__TLD_furniture,TLD,categorical
categorical__TLD_fyi,TLD,categorical
categorical__TLD_ga,TLD,categorical
categorical__TLD_gal,TLD,categorical
categorical__TLD_gallery,TLD,categorical
categorical__TLD_game,TLD,categorical
categorical__TLD_games,TLD,categorical
categorical__TLD_garden,TLD,categorical
categorical__TLD_gay,TLD,categorical
categorical__TLD_gd,TLD,categorical
categorical__TLD_gdn,TLD,categorical
categorical__TLD_ge,TLD,categorical
categorical__TLD_gf,TLD,categorical
categorical__TLD_gg,TLD,categorical
categorical__TLD_gh,TLD,categorical
categorical__TLD_gi,TLD,categorical
categorical__TLD_gift,TLD,categorical
categorical__TLD_gifts,TLD,categorical
categorical__TLD_gl,TLD,categorical
categorical__TLD_global,TLD,categorical
categorical__TLD_gmbh,TLD,categorical
categorical__TLD_gold,TLD,categorical
categorical__TLD_golf,TLD,categorical
categorical__TLD_goog,TLD,categorical
categorical__TLD_google,TLD,categorical
categorical__TLD_gov,TLD,categorical
categorical__TLD_gp,TLD,categorical
categorical__TLD_gq,TLD,categorical
categorical__TLD_gr,TLD,categorical
categorical__TLD_green,TLD,categorical
categorical__TLD_group,TLD,categorical
categorical__TLD_gs,TLD,categorical
categorical__TLD_gt,TLD,categorical
categorical__TLD_guide,TLD,categorical
categorical__TLD_guitars,TLD,categorical
categorical__TLD_guru,TLD,categorical
categorical__TLD_gy,TLD,categorical
categorical__TLD_hair,TLD,categorical
categorical__TLD_hamburg,TLD,categorical
categorical__TLD_health,TLD,categorical
categorical__TLD_healthcare,TLD,categorical
categorical__TLD_help,TLD,categorical
categorical__TLD_hk,TLD,categorical
categorical__TLD_hn,TLD,categorical
categorical__TLD_holiday,TLD,categorical
categorical__TLD_homes,TLD,categorical
categorical__TLD_host,TLD,categorical
categorical__TLD_hosting,TLD,categorical
categorical__TLD_house,TLD,categorical
categorical__TLD_hr,TLD,categorical
categorical__TLD_ht,TLD,categorical
categorical__TLD_hu,TLD,categorical
categorical__TLD_icu,TLD,categorical
categorical__TLD_id,TLD,categorical
categorical__TLD_ie,TLD,categorical
categorical__TLD_il,TLD,categorical
categorical__TLD_im,TLD,categorical
categorical__TLD_immo,TLD,categorical
categorical__TLD_in,TLD,categorical
categorical__TLD_industries,TLD,categorical
categorical__TLD_info,TLD,categorical
categorical__TLD_ink,TLD,categorical
categorical__TLD_institute,TLD,categorical
categorical__TLD_int,TLD,categorical
categorical__TLD_international,TLD,categorical
categorical__TLD_investments,TLD,categorical
categorical__TLD_io,TLD,categorical
categorical__TLD_iq,TLD,categorical
categorical__TLD_ir,TLD,categorical
categorical__TLD_is,TLD,categorical
categorical__TLD_ist,TLD,categorical
categorical__TLD_istanbul,TLD,categorical
categorical__TLD_it,TLD,categorical
categorical__TLD_je,TLD,categorical
categorical__TLD_jm,TLD,categorical
categorical__TLD_jo,TLD,categorical
categorical__TLD_jobs,TLD,categorical
categorical__TLD_jp,TLD,categorical
categorical__TLD_ke,TLD,categorical
categorical__TLD_kg,TLD,categorical
categorical__TLD_kh,TLD,categorical
categorical__TLD_ki,TLD,categorical
categorical__TLD_kim,TLD,categorical
categorical__TLD_kitchen,TLD,categorical
categorical__TLD_kiwi,TLD,categorical
categorical__TLD_kn,TLD,categorical
categorical__TLD_koeln,TLD,categorical
categorical__TLD_kr,TLD,categorical
categorical__TLD_krd,TLD,categorical
categorical__TLD_kred,TLD,categorical
categorical__TLD_kw,TLD,categorical
categorical__TLD_ky,TLD,categorical
categorical__TLD_kz,TLD,categorical
categorical__TLD_la,TLD,categorical
categorical__TLD_land,TLD,categorical
categorical__TLD_land:443,TLD,categorical
categorical__TLD_lat,TLD,categorical
categorical__TLD_law,TLD,categorical
categorical__TLD_lb,TLD,categorical
categorical__TLD_lc,TLD,categorical
categorical__TLD_legal,TLD,categorical
categorical__TLD_li,TLD,categorical
categorical__TLD_life,TLD,categorical
categorical__TLD_lighting,TLD,categorical
categorical__TLD_limited,TLD,categorical
categorical__TLD_limo,TLD,categorical
categorical__TLD_link,TLD,categorical
categorical__TLD_live,TLD,categorical
categorical__TLD_lk,TLD,categorical
categorical__TLD_loan,TLD,categorical
categorical__TLD_lol,TLD,categorical
categorical__TLD_london,TLD,categorical
categorical__TLD_love,TLD,categorical
categorical__TLD_lr,TLD,categorical
categorical__TLD_ls,TLD,categorical
categorical__TLD_lt,TLD,categorical
categorical__TLD_ltd,TLD,categorical
categorical__TLD_lu,TLD,categorical
categorical__TLD_lundbeck,TLD,categorical
categorical__TLD_lv,TLD,categorical
categorical__TLD_ly,TLD,categorical
categorical__TLD_ma,TLD,categorical
categorical__TLD_madrid,TLD,categorical
categorical__TLD_maison,TLD,categorical
categorical__TLD_makeup,TLD,categorical
categorical__TLD_management,TLD,categorical
categorical__TLD_market,TLD,categorical
categorical__TLD_marketing,TLD,categorical
categorical__TLD_markets,TLD,categorical
categorical__TLD_mba,TLD,categorical
categorical__TLD_mc,TLD,categorical
categorical__TLD_md,TLD,categorical
categorical__TLD_me,TLD,categorical
categorical__TLD_media,TLD,categorical
categorical__TLD_menu,TLD,categorical
categorical__TLD_mg,TLD,categorical
categorical__TLD_miami,TLD,categorical
categorical__TLD_mil,TLD,categorical
categorical__TLD_mk,TLD,categorical
categorical__TLD_ml,TLD,categorical
categorical__TLD_mm,TLD,categorical
categorical__TLD_mn,TLD,categorical
categorical__TLD_mo,TLD,categorical
categorical__TLD_mobi,TLD,categorical
categorical__TLD_moe,TLD,categorical
categorical__TLD_mom,TLD,categorical
categorical__TLD_money,TLD,categorical
categorical__TLD_monster,TLD,categorical
categorical__TLD_mortgage,TLD,categorical
categorical__TLD_mp,TLD,categorical
categorical__TLD_mq,TLD,categorical
categorical__TLD_mr,TLD,categorical
categorical__TLD_ms,TLD,categorical
categorical__TLD_mt,TLD,categorical
categorical__TLD_mu,TLD,categorical
categorical__TLD_museum,TLD,categorical
categorical__TLD_mv,TLD,categorical
categorical__TLD_mw,TLD,categorical
categorical__TLD_mx,TLD,categorical
categorical__TLD_my,TLD,categorical
categorical__TLD_mz,TLD,categorical
categorical__TLD_na,TLD,categorical
categorical__TLD_nagoya,TLD,categorical
categorical__TLD_name,TLD,categorical
categorical__TLD_nc,TLD,categorical
categorical__TLD_ne,TLD,categorical
categorical__TLD_net,TLD,categorical
categorical__TLD_network,TLD,categorical
categorical__TLD_neustar,TLD,categorical
categorical__TLD_news,TLD,categorical
categorical__TLD_nf,TLD,categorical
categorical__TLD_ng,TLD,categorical
categorical__TLD_ngo,TLD,categorical
categorical__TLD_ni,TLD,categorical
categorical__TLD_ninja,TLD,categorical
categorical__TLD_nl,TLD,categorical
categorical__TLD_no,TLD,categorical
categorical__TLD_np,TLD,categorical
categorical__TLD_nr,TLD,categorical
categorical__TLD_nrw,TLD,categorical
categorical__TLD_ntt,TLD,categorical
categorical__TLD_nu,TLD,categorical
categorical__TLD_nyc,TLD,categorical
categorical__TLD_nz,TLD,categorical
categorical__TLD_om,TLD,categorical
categorical__TLD_one,TLD,categorical
categorical__TLD_online,TLD,categorical
categorical__TLD_ooo,TLD,categorical
categorical__TLD_org,TLD,categorical
categorical__TLD_ovh,TLD,categorical
categorical__TLD_pa,TLD,categorical
categorical__TLD_page,TLD,categorical
categorical__TLD_paris,TLD,categorical
categorical__TLD_party,TLD,categorical
categorical__TLD_pe,TLD,categorical
categorical__TLD_pet,TLD,categorical
categorical__TLD_pf,TLD,categorical
categorical__TLD_pg,TLD,categorical
categorical__TLD_ph,TLD,categorical
categorical__TLD_photo,TLD,categorical
categorical__TLD_photography,TLD,categorical
categorical__TLD_photos,TLD,categorical
categorical__TLD_pics,TLD,categorical
categorical__TLD_pink,TLD,categorical
categorical__TLD_pk,TLD,categorical
categorical__TLD_pl,TLD,categorical
categorical__TLD_pl:443,TLD,categorical
categorical__TLD_place,TLD,categorical
categorical__TLD_plus,TLD,categorical
categorical__TLD_pm,TLD,categorical
categorical__TLD_pn,TLD,categorical
categorical__TLD_post,TLD,categorical
categorical__TLD_press,TLD,categorical
categorical__TLD_pro,TLD,categorical
categorical__TLD_promo,TLD,categorical
categorical__TLD_ps,TLD,categorical
categorical__TLD_pt,TLD,categorical
categorical__TLD_pub,TLD,categorical
categorical__TLD_pw,TLD,categorical
categorical__TLD_py,TLD,categorical
categorical__TLD_qa,TLD,categorical
categorical__TLD_quest,TLD,categorical
categorical__TLD_racing,TLD,categorical
categorical__TLD_radio,TLD,categorical
categorical__TLD_re,TLD,categorical
categorical__TLD_recipes,TLD,categorical
categorical__TLD_red,TLD,categorical
categorical__TLD_rentals,TLD,categorical
categorical__TLD_repair,TLD,categorical
categorical__TLD_report,TLD,categorical
categorical__TLD_rest,TLD,categorical
categorical__TLD_review,TLD,categorical
categorical__TLD_reviews,TLD,categorical
categorical__TLD_rip,TLD,categorical
categorical__TLD_ro,TLD,categorical
categorical__TLD_rocks,TLD,categorical
categorical__TLD_rs,TLD,categorical
categorical__TLD_ru,TLD,categorical
categorical__TLD_rugby,TLD,categorical
categorical__TLD_ruhr,TLD,categorical
categorical__TLD_run,TLD,categorical
categorical__TLD_rw,TLD,categorical
categorical__TLD_sa,TLD,categorical
categorical__TLD_salon,TLD,categorical
categorical__TLD_sb,TLD,categorical
categorical__TLD_sbs,TLD,categorical
categorical__TLD_sc,TLD,categorical
categorical__TLD_school,TLD,categorical
categorical__TLD_schule,TLD,categorical
categorical__TLD_science,TLD,categorical
categorical__TLD_scot,TLD,categorical
categorical__TLD_sd,TLD,categorical
categorical__TLD_se,TLD,categorical
categorical__TLD_services,TLD,categorical
categorical__TLD_sexy,TLD,categorical
categorical__TLD_sg,TLD,categorical
categorical__TLD_sh,TLD,categorical
categorical__TLD_sharp,TLD,categorical
categorical__TLD_shoes,TLD,categorical
categorical__TLD_shop,TLD,categorical
categorical__TLD_show,TLD,categorical
categorical__TLD_si,TLD,categorical
categorical__TLD_site,TLD,categorical
categorical__TLD_sk,TLD,categorical
categorical__TLD_ski,TLD,categorical
categorical__TLD_skin,TLD,categorical
categorical__TLD_sm,TLD,categorical
categorical__TLD_sn,TLD,categorical
categorical__TLD_so,TLD,categorical
categorical__TLD_social,TLD,categorical
categorical__TLD_software,TLD,categorical
categorical__TLD_solutions,TLD,categorical
categorical__TLD_soy,TLD,categorical
categorical__TLD_space,TLD,categorical
categorical__TLD_sport,TLD,categorical
categorical__TLD_sr,TLD,categorical
categorical__TLD_ss,TLD,categorical
categorical__TLD_st,TLD,categorical
categorical__TLD_store,TLD,categorical
categorical__TLD_stream,TLD,categorical
categorical__TLD_studio,TLD,categorical
categorical__TLD_study,TLD,categorical
categorical__TLD_su,TLD,categorical
categorical__TLD_supply,TLD,categorical
categorical__TLD_support,TLD,categorical
categorical__TLD_sv,TLD,categorical
categorical__TLD_swiss,TLD,categorical
categorical__TLD_sx,TLD,categorical
categorical__TLD_sy,TLD,categorical
categorical__TLD_systems,TLD,categorical
categorical__TLD_sz,TLD,categorical
categorical__TLD_tax,TLD,categorical
categorical__TLD_taxi,TLD,categorical
categorical__TLD_tc,TLD,categorical
categorical__TLD_team,TLD,categorical
categorical__TLD_tech,TLD,categorical
categorical__TLD_technology,TLD,categorical
categorical__TLD_tel,TLD,categorical
categorical__TLD_tf,TLD,categorical
categorical__TLD_tg,TLD,categorical
categorical__TLD_th,TLD,categorical
categorical__TLD_theater,TLD,categorical
categorical__TLD_tips,TLD,categorical
categorical__TLD_tirol,TLD,categorical
categorical__TLD_tj,TLD,categorical
categorical__TLD_tk,TLD,categorical
categorical__TLD_tl,TLD,categorical
categorical__TLD_tm,TLD,categorical
categorical__TLD_tn,TLD,categorical
categorical__TLD_to,TLD,categorical
categorical__TLD_today,TLD,categorical
categorical__TLD_tokyo,TLD,categorical
categorical__TLD_tools,TLD,categorical
categorical__TLD_top,TLD,categorical
categorical__TLD_tours,TLD,categorical
categorical__TLD_town,TLD,categorical
categorical__TLD_tr,TLD,categorical
categorical__TLD_trade,TLD,categorical
categorical__TLD_training,TLD,categorical
categorical__TLD_travel,TLD,categorical
categorical__TLD_tt,TLD,categorical
categorical__TLD_tv,TLD,categorical
categorical__TLD_tw,TLD,categorical
categorical__TLD_tz,TLD,categorical
categorical__TLD_ua,TLD,categorical
categorical__TLD_ug,TLD,categorical
categorical__TLD_uk,TLD,categorical
categorical__TLD_uno,TLD,categorical
categorical__TLD_us,TLD,categorical
categorical__TLD_uy,TLD,categorical
categorical__TLD_uz,TLD,categorical
categorical__TLD_va,TLD,categorical
categorical__TLD_vc,TLD,categorical
categorical__TLD_ve,TLD,categorical
categorical__TLD_vegas,TLD,categorical
categorical__TLD_vet,TLD,categorical
categorical__TLD_vg,TLD,categorical
categorical__TLD_vi,TLD,categorical
categorical__TLD_video,TLD,categorical
categorical__TLD_vip,TLD,categorical
categorical__TLD_vlaanderen,TLD,categorical
categorical__TLD_vn,TLD,categorical
categorical__TLD_vote,TLD,categorical
categorical__TLD_vu,TLD,categorical
categorical__TLD_wales,TLD,categorical
categorical__TLD_watch,TLD,categorical
categorical__TLD_weber,TLD,categorical
categorical__TLD_website,TLD,categorical
categorical__TLD_wf,TLD,categorical
categorical__TLD_wiki,TLD,categorical
categorical__TLD_win,TLD,categorical
categorical__TLD_wine,TLD,categorical
categorical__TLD_work,TLD,categorical
categorical__TLD_works,TLD,categorical
categorical__TLD_world,TLD,categorical
categorical__TLD_ws,TLD,categorical
categorical__TLD_wtf,TLD,categorical
categorical__TLD_xn--6frz82g,TLD,categorical
categorical__TLD_xn--90ais,TLD,categorical
categorical__TLD_xn--c1avg,TLD,categorical
categorical__TLD_xn--mk1bu44c,TLD,categorical
categorical__TLD_xn--p1acf,TLD,categorical
categorical__TLD_xn--p1ai,TLD,categorical
categorical__TLD_xyz,TLD,categorical
categorical__TLD_yachts,TLD,categorical
categorical__TLD_yoga,TLD,categorical
categorical__TLD_youtube,TLD,categorical
categorical__TLD_yt,TLD,categorical
categorical__TLD_za,TLD,categorical
categorical__TLD_zm,TLD,categorical
categorical__TLD_zone,TLD,categorical
categorical__TLD_zw,TLD,categorical
